segment_id	char_range	frame_range	speaker_id	document_id
0bed4315-c9e9-433b-9c7d-0df6ba4df83a	[7153, 7184)	[21428, 21486)	T1_GP1	BE_2019_001_T_ELAN
ef3a6701-5111-4416-a388-d21f00e2c876	[7184, 7253)	[21524, 21622)	T1_GP1	BE_2019_001_T_ELAN
528e2cdd-4da9-4053-8256-d59a7c2b198b	[7253, 7311)	[21658, 21751)	T1_GP1	BE_2019_001_T_ELAN
2a4acf3e-5530-406e-b7bd-4992ce58890d	[7311, 7332)	[22110, 22232)	T1_GP1	BE_2019_001_T_ELAN
b716bd01-5b73-4e51-ace7-05b6384e6b9d	[7332, 7335)	[22302, 22319)	T1_GP1	BE_2019_001_T_ELAN
1973ea6b-1a99-48a4-a130-de986a34b6fe	[7335, 7370)	[22480, 22537)	T1_GP1	BE_2019_001_T_ELAN
3d8f4ae2-c86e-4389-a503-efc70cd3e51a	[7370, 7422)	[22588, 22771)	T1_GP1	BE_2019_001_T_ELAN
1b5c6353-ea7d-44ca-9648-1336eb0d9812	[7422, 7476)	[22855, 22967)	T1_GP1	BE_2019_001_T_ELAN
47b3b796-e0c7-4367-9876-38af56d00d7b	[7476, 7487)	[23149, 23185)	T1_GP1	BE_2019_001_T_ELAN
bc2c67c9-4a52-40c9-8161-f5ceaf23a62c	[7487, 7510)	[23316, 23349)	T1_GP1	BE_2019_001_T_ELAN
957e9824-80dd-4c85-929b-6cd3a9ed9e0c	[7510, 7542)	[23354, 23457)	T1_GP1	BE_2019_001_T_ELAN
2bcaaa89-07b6-434b-8691-d049f0cac570	[7542, 7545)	[23722, 23736)	T1_GP1	BE_2019_001_T_ELAN
a554fe41-9e18-4091-8837-318656c31e4b	[7545, 7613)	[23812, 23982)	T1_GP1	BE_2019_001_T_ELAN
a280d74b-a058-43f5-9462-de585a916129	[7613, 7618)	[24153, 24172)	T1_GP1	BE_2019_001_T_ELAN
86cda701-69b3-4a80-bb74-62ff9af8d6fa	[7618, 7634)	[24318, 24364)	T1_GP1	BE_2019_001_T_ELAN
24b5dabf-aab7-4b8a-9033-730908cd15d6	[7634, 7636)	[24373, 24384)	T1_GP1	BE_2019_001_T_ELAN
f4c98a93-8e23-4e62-ba07-e628bde76785	[7636, 7658)	[24420, 24562)	T1_GP1	BE_2019_001_T_ELAN
63558219-6715-4b08-a915-e240ea2d3ff3	[7658, 7690)	[24732, 24802)	T1_GP1	BE_2019_001_T_ELAN
3857b159-27bf-4f6b-bd1c-0388d2da6f7e	[7690, 7720)	[25032, 25116)	T1_GP1	BE_2019_001_T_ELAN
f5831555-bf2d-4f27-96e0-caf4b88c6e10	[7720, 7791)	[25270, 25400)	T1_GP1	BE_2019_001_T_ELAN
8d7f6459-5fe8-44f0-bd48-af4d407da92e	[7791, 7823)	[25419, 25483)	T1_GP1	BE_2019_001_T_ELAN
347c5b8e-6c4b-4a3e-b108-29638053290f	[7823, 7839)	[25546, 25559)	T1_GP1	BE_2019_001_T_ELAN
48d6bff8-3188-4f5f-8cf4-f2a3734fd36d	[7839, 7859)	[26207, 26269)	T1_GP1	BE_2019_001_T_ELAN
df52c55b-9ce6-46d6-a8b4-1b2365d8b9c2	[7859, 7876)	[26278, 26482)	T1_GP1	BE_2019_001_T_ELAN
dbb4c03d-e0db-4713-80a8-b813daefd4dd	[7876, 7884)	[26638, 26696)	T1_GP1	BE_2019_001_T_ELAN
e137c36a-d6ff-4dc8-b34f-e499a49d10b8	[7884, 7888)	[26699, 26711)	T1_GP1	BE_2019_001_T_ELAN
aed29c0f-643f-4e86-b545-a5a688b6cd22	[7888, 7912)	[26720, 26991)	T1_GP1	BE_2019_001_T_ELAN
8b94917f-be3e-409f-be51-fbea4ca95547	[7912, 7916)	[27088, 27102)	T1_GP1	BE_2019_001_T_ELAN
04bc6791-54eb-47e1-ae18-32f6904cf595	[7916, 7989)	[27126, 27217)	T1_GP1	BE_2019_001_T_ELAN
eeea39e3-658a-4fe4-b6d2-827421079010	[7989, 7996)	[27350, 27369)	T1_GP1	BE_2019_001_T_ELAN
94900cdf-248f-4a1b-9760-a8da6ad42088	[7996, 8009)	[27424, 27460)	T1_GP1	BE_2019_001_T_ELAN
51ef329d-7290-47cd-af65-33e9a52675ad	[8009, 8054)	[27484, 27556)	T1_GP1	BE_2019_001_T_ELAN
358aca42-bc59-42b5-a211-36f8f5947013	[8054, 8056)	[28174, 28192)	T1_GP1	BE_2019_001_T_ELAN
676fd042-8eff-401b-b060-480533304803	[8056, 8075)	[28951, 28994)	T1_GP1	BE_2019_001_T_ELAN
