sentence_id,char_range,frame_range,speaker_id,original_id
23057ba7-9545-4f1f-b747-f86226ed72eb,"[13092,13122)","[44439,44470)",1,236
4aa69257-b5cc-4479-8904-235b607ecdf7,"[13122,13278)","[44480,44695)",1,237
acc04d5c-7fca-4cc3-a68c-a2e2eb0c72fd,"[13278,13351)","[44697,44811)",1,238
b591db2c-f32a-4908-bed8-2ef3fa12c35c,"[13351,13447)","[44813,44990)",1,239
154ea8b2-26df-4dcd-9a15-df0d0efe45f4,"[13447,13510)","[45000,45097)",1,240
6ef0b6f6-bcad-4801-8966-670659a113d1,"[13510,13738)","[45097,45347)",1,241
a4066324-2aea-4383-8d46-379c1a5df36d,"[13738,13800)","[45347,45448)",1,242
fb96b692-edce-479e-93ea-688de4b5e31c,"[13800,13971)","[45448,45633)",1,243
f7401e87-14ee-4430-bd27-7622e0a53a49,"[13971,14076)","[45664,45790)",1,244
3db499c2-31ea-4c8f-a343-f6cef4c202f0,"[14076,14177)","[45791,45966)",1,245
5ac5bd8d-f9f0-41df-904f-ac6346e1cbf7,"[14177,14185)","[45966,45987)",1,246
d0a0d821-3750-4a98-8be8-807e314b9816,"[14185,14225)","[46025,46084)",1,247
b8229e9f-555c-4347-8434-1c4acf6dd800,"[14225,14342)","[46108,46284)",1,248
1848af3d-5120-481d-9017-ec823fc09ea9,"[14342,14356)","[46593,46644)",1,249
6f037986-42fc-4f8e-b680-a6de98ac1057,"[14356,14373)","[46643,46739)",1,250
8760c1a7-fbc4-4d6b-b174-c0896b8ab101,"[14373,14381)","[46739,46783)",1,251
848f6a55-902e-4459-aef5-6aede73a7cac,"[14381,14400)","[46783,46997)",1,252
406ba7b3-69d6-4451-999a-6741a0d189b6,"[14400,14448)","[47112,47265)",1,253
eeffd368-f9f9-4721-82a2-434acc8604be,"[14448,14458)","[47339,47377)",1,254
8b9066f0-a392-4f51-b4a8-eb14214c569e,"[14458,14584)","[47376,47597)",1,255
8a15068a-79e0-46a5-9474-ac5a5962c1dd,"[14584,14587)","[47640,47659)",1,70
